_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.5,COVID053,M1,1,0,COVID,200,RNA_Xiong_PBMC_Down,,-6.5,4.3,6.8,28160,257,464,18,3.9,0.9,2|3|3811|3820|3982|4603|5729|8644|9241|10219|28526|117157|162966|259197|339988|387895|100507612|105377006,A2M|A2MP1|KIR3DL1|KLRB1|LIM2|MYBL1|PTGDR|AKR1C3|NOG|KLRG1|TRDC|SH2D1B|ZNF600|NCR3|LINC02481|LINC00944|LINC00402|LINC02084,-3.8,0
1,-6.3,COVID027,M1,1,0,COVID,200,RNA_Lamers_intestinal-organoid_expansion_Down,,-6.3,4.1,6.6,28160,264,464,18,3.9,0.9,394|567|901|1974|3315|3460|6303|6309|6659|9249|10140|10616|10653|30061|83719|84973|85027|401152,ARHGAP5|B2M|CCNG2|EIF4A2|HSPB1|IFNGR2|SAT1|SC5D|SOX4|DHRS3|TOB1|RBCK1|SPINT2|SLC40A1|YPEL3|SNHG7|SMIM3|C4orf3,-3.7,0
1,-5.9,COVID311,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C4_Up,,-5.9,17,9.4,28160,22,464,6,1.3,0.52,3507|4599|4940|6772|10964|54739,IGHM|MX1|OAS3|STAT1|IFI44L|XAF1,-3.3,0
1,-5.5,COVID271,M1,1,0,COVID,200,RNA_Wilk_CD16+Monocytes_patient-C7_Up,,-5.5,14,8.6,28160,26,464,6,1.3,0.52,4616|6772|8743|10410|51056|64167,GADD45B|STAT1|TNFSF10|IFITM3|LAP3|ERAP2,-2.9,0
1,-5.2,COVID285,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C7_Up,,-5.2,13,8.1,28160,29,464,6,1.3,0.52,374|1052|4616|6772|51056|64167,AREG|CEBPD|GADD45B|STAT1|LAP3|ERAP2,-2.6,0
1,-4.5,COVID253,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C4_Down,,-4.5,5.6,5.9,28160,97,464,9,1.9,0.64,1052|1471|1843|2353|6303|7305|7940|10875|57035,CEBPD|CST3|DUSP1|FOS|SAT1|TYROBP|LST1|FGL2|RSRP1,-2,0
1,-4.4,COVID243,M1,1,0,COVID,200,RNA_Riva_Vero-E6_24h_Up,,-4.4,3.2,5,28160,300,464,16,3.4,0.85,1843|2353|2537|3433|3434|3437|3460|4616|9636|10561|23586|55601|64135|79132|91543|445815,DUSP1|FOS|IFI6|IFIT2|IFIT1|IFIT3|IFNGR2|GADD45B|ISG15|IFI44|DDX58|DDX60|IFIH1|DHX58|RSAD2|PALM2AKAP2,-1.9,0
1,-4.2,COVID352,M1,1,0,COVID,200,RNA_Zhang_Monocytes_moderate-only_Up,,-4.2,12,7,28160,26,464,5,1.1,0.48,10589|51131|51246|84941|440836,DRAP1|PHF11|SHISA5|HSH2D|ODF3B,-1.8,0
1,-4.1,COVID249,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C2_Down,,-4.1,6.9,6,28160,62,464,7,1.5,0.57,567|1471|1843|2353|6303|7940|10875,B2M|CST3|DUSP1|FOS|SAT1|LST1|FGL2,-1.7,0
1,-4.1,COVID257,M1,1,0,COVID,200,RNA_Wilk_CD14+Monocytes_patient-C6_Down,,-4.1,5.6,5.6,28160,86,464,8,1.7,0.6,1471|1843|1974|2353|6303|9445|10875|57035,CST3|DUSP1|EIF4A2|FOS|SAT1|ITM2B|FGL2|RSRP1,-1.6,0
